gene	via_seed	interaction_score	n_drugs	n_approved	maturity	priority	approved_drugs	top_drugs
ATR	TP53	0.44	29	7	0.931	0.4096	TALAZOPARIB|OLAPARIB|NIRAPARIB|TEMOZOLOMIDE|ENZALUTAMIDE|CISPLATIN|RUCAPARIB	M4344|VE-821|ELIMUSERTIB|TUVUSERTIB|BERZOSERTIB
AURKA	CDKN2A	0.4	85	7	1.0	0.4	PACLITAXEL PROTEIN-BOUND|TAMOXIFEN|PAZOPANIB|SORAFENIB|ENTRECTINIB|FLUOROURACIL|CISPLATIN	AURORA A KINASE INHIBITOR MK5108|VIC 1911|SNS-314|PF-03814735|AMG-900
HLA-B	CDKN2A	0.4	49	42	1.0	0.4	CLOZAPINE|IRINOTECAN HYDROCHLORIDE|LAPATINIB|CLINDAMYCIN|MINOCYCLINE|INFLIXIMAB|CARBAMAZEPINE|DAPSONE|METHAZOLAMIDE|FOSPHENYTOIN|REGORAFENIB|CARBIMAZOLE|OXCARBAZEPINE|MOXIFLOXACIN|RIBAVIRIN|PENICILLIN G POTASSIUM|SULFAMETHOXAZOLE|PHENYTOIN SODIUM|CEFTAZIDIME ANHYDROUS|LEVOFLOXACIN ANHYDROUS|OSIMERTINIB|RITUXIMAB|STAVUDINE|ACETAZOLAMIDE|ABACAVIR|CIPROFLOXACIN|THALIDOMIDE|HYDROXYCHLOROQUINE|ISONIAZID|METHIMAZOLE|PEGINTERFERON ALFA-2A|AMOXICILLIN ANHYDROUS|INTERFERON BETA-1A|ETANERCEPT|CLAVULANIC ACID|PENICILLIN V|PAZOPANIB|LAMIVUDINE|SULFASALAZINE|TICLOPIDINE|PEGINTERFERON ALFA-2B|RALTEGRAVIR POTASSIUM	CEFTAZIDIME ANHYDROUS|TRICHLOROETHYLENE|PENICILLIN V|SULFAMETHOXAZOLE / TRIMETHOPRIM|ABACAVIR
HSP90AB1	TP53	0.4	49	6	1.0	0.4	DAUNORUBICIN HYDROCHLORIDE|DOXORUBICIN HYDROCHLORIDE|MASOPROCOL|BEVACIZUMAB|TETRACYCLINE|DIPYRIDAMOLE	GELDANAMYCIN|RADICICOL|CYCLOPROPARADICICOL|COUMERMYCIN A1|TANESPIMYCIN
PPP1R13L	TP53	0.81	3	3	0.469	0.3799	CISPLATIN|GEMCITABINE|DOXORUBICIN HYDROCHLORIDE	GEMCITABINE|DOXORUBICIN HYDROCHLORIDE|CISPLATIN
VHL	CDKN2A	0.4	28	16	0.925	0.37	RUXOLITINIB|IBUPROFEN, SODIUM SALT|SUNITINIB|TRAMETINIB DIMETHYL SULFOXIDE|TEMSIROLIMUS|PAZOPANIB|SORAFENIB|CABOZANTINIB S-MALATE|REGORAFENIB|NICOTINE POLACRILEX|PEGINTERFERON ALFA-2A|BELZUTIFAN|BEVACIZUMAB|OLAPARIB|AXITINIB|EVEROLIMUS	TELAGLENASTAT|MYELOID CELL LEUKEMIA 1 INHIBITOR PRT1419|MS8815|CHEMBL:CHEMBL4165848|BELZUTIFAN
DVL2	TP53	0.78	3	3	0.469	0.3658	AFATINIB|GEFITINIB|ERLOTINIB	AFATINIB|ERLOTINIB|GEFITINIB
S100A12	TP53	0.44	5	5	0.781	0.3436	METHOTREXATE|RIMEGEPANT|UBROGEPANT|ATOGEPANT|EPTINEZUMAB	EPTINEZUMAB|UBROGEPANT|ATOGEPANT|RIMEGEPANT|METHOTREXATE
IMPDH1	CDKN2A	0.4	16	9	0.85	0.34	MERCAPTOPURINE|MYCOPHENOLATE MOFETIL|AZATHIOPRINE|MYCOPHENOLATE|MYCOPHENOLATE SODIUM|METHOTREXATE|THIOGUANINE|RIBAVIRIN|MYCOPHENOLATE MOFETIL HYDROCHLORIDE	TARIBAVIRIN HYDROCHLORIDE|TIAZOFURIN|VX-148|AVN-944|AVN-944
RRM2B	TP53	0.4	13	9	0.831	0.3324	HYDROXYUREA|GALLIUM NITRATE|CLOFARABINE|GEMCITABINE HYDROCHLORIDE|CLADRIBINE|CYTARABINE|GEMCITABINE|FLUDARABINE|TELBIVUDINE	TELBIVUDINE|TRIAPINE|TEZACITABINE|MOTEXAFIN GADOLINIUM|GALLIUM NITRATE
